id,non_match_count,match_ratio,response_count,match_count,anagram_x,correct,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10
307,0,1.0,7,7,auvel,value,value,value,value,value,value,value,value,,,
308,2,0.7142857142857143,7,5,ogetun,tongue,tongue,tongue,tongue,tounge,tongue,engout,tongue,,,
309,0,1.0,7,7,asdn,sand,sand,sand,sand,sand,sand,sand,sand,,,
310,1,0.8571428571428571,7,6,iitsv,visit,visit,visit,vist,visit,visit,visit,visit,,,
311,0,1.0,7,7,erwso,worse,worse,worse,worse,worse,worse,worse,worse,,,
312,1,0.8571428571428571,7,6,rauesq,square,square,square,square,square,square,square,quaser,,,
313,0,1.0,7,7,rtewa,water,water,water,water,water,water,water,water,,,
314,2,0.7142857142857143,7,5,truts,trust,truts,trust,trust,trust,trust,strut,trust,,,
315,1,0.875,8,7,iwrte,write,,write,write,write,write,write,write,write,,
316,2,0.7142857142857143,7,5,etps,step,step,step,pets,step,step,pest,step,,,
317,1,0.8571428571428571,7,6,uausl,usual,sualu,usual,usual,usual,usual,usual,usual,,,
318,5,0.2857142857142857,7,2,kins,sink,sink,sink,skin,skin,skin,skin,skin,,,
319,0,1.0,7,7,tcwie,twice,twice,twice,twice,twice,twice,twice,twice,,,
320,1,0.8571428571428571,7,6,rtuht,truth,thurt,truth,truth,truth,truth,truth,truth,,,
321,2,0.75,8,6,tuyho,youth,thouy,youth,youth,,youth,youth,youth,youth,,
322,2,0.7142857142857143,7,5,ehicoc,choice,choice,choice,cochie,choice,choice,choice,cochie,,,
323,3,0.5714285714285714,7,4,ituln,until,nuilt,tiuln,until,until,until,until,tinul,,,
324,1,0.8571428571428571,7,6,zigagz,zigzag,zigzag,ziqzag,zigzag,zigzag,zigzag,zigzag,zigzag,,,
325,1,0.8571428571428571,7,6,ilmk,milk,limk,milk,milk,milk,milk,milk,milk,,,
326,3,0.5714285714285714,7,4,srki,risk,kris,irks,risk,risk,kris,risk,risk,,,
327,2,0.7142857142857143,7,5,hiwel,while,whiel,while,while,while,while,while,wielh,,,
328,2,0.7142857142857143,7,5,asps,pass,pass,pass,saps,pass,pass,pass,saps,,,
329,4,0.42857142857142855,7,3,oact,coat,taco,coa,coat,taco,coat,taco,coat,,,
330,4,0.42857142857142855,7,3,ecepir,recipe,recipe,recipe,pierce,pierce,recipe,pierce,pierce,,,
331,3,0.5714285714285714,7,4,gtreat,target,target,greatt,greatt,target,target,target,greatt,,,
332,1,0.8571428571428571,7,6,vleo,love,love,love,love,love,love,love,vole,,,
333,2,0.7142857142857143,7,5,aebs,base,baser,base,base,base,base,base,seab,,,
334,0,1.0,7,7,memidu,medium,medium,medium,medium,medium,medium,medium,medium,,,
335,2,0.7142857142857143,7,5,eltlit,little,little,littl,title,little,little,little,little,,,
336,3,0.5714285714285714,7,4,eert,tree,reet,teer,tree,tree,tree,tert,tree,,,
337,0,1.0,7,7,lpaep,apple,apple,apple,apple,apple,apple,apple,apple,,,
338,0,1.0,7,7,eowhl,whole,whole,whole,whole,whole,whole,whole,whole,,,
339,1,0.8571428571428571,7,6,foluyj,joyful,joyful,joyful,joyful,joyful,joyful,joyful,jolyfu,,,
340,2,0.7142857142857143,7,5,laolgb,global,global,bollag,global,lablog,global,global,global,,,
341,0,1.0,7,7,azjz,jazz,jazz,jazz,jazz,jazz,jazz,jazz,jazz,,,
342,2,0.7142857142857143,7,5,buel,blue,blue,lube,blue,lube,blue,blue,blue,,,
343,0,1.0,7,7,rcea,race,race,race,race,race,race,race,race,,,
344,1,0.8571428571428571,7,6,rwoyr,worry,worry,rowry,worry,worry,worry,worry,worry,,,
345,3,0.625,8,5,oecxti,exotic,exotic,exotic,,exotic,exotic,exotic,excite,excito,,
346,2,0.75,8,6,admrei,admire,admeri,admire,admire,,admire,admire,admire,admire,,
347,2,0.7142857142857143,7,5,omnaw,woman,woman,monaw,woman,woman,woman,woman,manow,,,
348,2,0.7142857142857143,7,5,eunrd,under,under,runed,under,under,under,under,drune,,,
349,5,0.2857142857142857,7,2,roeich,heroic,richeo,choire,choire,heroic,heroic,cherio,choier,,,
350,0,1.0,7,7,lilb,bill,bill,bill,bill,bill,bill,bill,bill,,,
351,2,0.75,8,6,rhaic,chair,chai,chair,chair,,chair,chair,chair,chair,,
352,0,1.0,7,7,bnda,band,band,band,band,band,band,band,band,,,
353,2,0.7142857142857143,7,5,pseong,sponge,sponge,pesong,sponge,sponge,sponge,sponge,pesong,,,
354,2,0.7142857142857143,7,5,rcinpe,prince,recipen,cripen,prince,prince,prince,prince,prince,,,
355,1,0.8571428571428571,7,6,ymafli,family,flaimuy,family,family,family,family,family,family,,,
356,3,0.5714285714285714,7,4,wieht,white,theiw,white,white,withe,white,white,weiht,,,
357,4,0.42857142857142855,7,3,ryma,army,mary,mary,mary,army,army,army,mary,,,
358,3,0.5714285714285714,7,4,lodwr,world,wo,drowl,world,world,world,drowl,world,,,
359,1,0.8571428571428571,7,6,acpm,camp,camp,mapc,camp,camp,camp,camp,camp,,,
360,1,0.8571428571428571,7,6,iqnuue,unique,quenui,unique,unique,unique,unique,unique,unique,,,
